ad_id,reporting_start,reporting_end,campaign_id,fb_campaign_id,age,gender,interest1,interest2,interest3,impressions,clicks,spent,total_conversion,approved_conversion
708746,17-08-2017,17-08-2017,916,103916,30-34,M,15,17,17,7350,1,1.429999948,2,1
708749,17-08-2017,17-08-2017,916,103917,30-34,M,16,19,21,17861,2,1.820000023,2,0
708771,17-08-2017,17-08-2017,916,103920,30-34,M,20,25,22,693,0,0,1,0
708815,30-08-2017,30-08-2017,916,103928,30-34,M,28,32,32,4259,1,1.25,1,0
708818,17-08-2017,17-08-2017,916,103928,30-34,M,28,33,32,4133,1,1.289999962,1,1
708820,17-08-2017,17-08-2017,916,103929,30-34,M,29,30,30,1915,0,0,1,1
708889,17-08-2017,17-08-2017,916,103940,30-34,M,15,16,17,15615,3,4.769999981,1,0
708895,17-08-2017,17-08-2017,916,103941,30-34,M,16,20,18,10951,1,1.269999981,1,1
708953,17-08-2017,17-08-2017,916,103951,30-34,M,27,31,31,2355,1,1.5,1,0
708958,30-08-2017,30-08-2017,916,103952,30-34,M,28,32,31,9502,3,3.159999967,1,0
708979,30-08-2017,30-08-2017,916,103955,30-34,M,31,37,34,1224,0,0,1,0
709023,29-08-2017,29-08-2017,916,103962,30-34,M,7,8,8,735,0,0,1,0
709038,29-08-2017,29-08-2017,916,103965,30-34,M,16,20,22,5117,0,0,1,0
709040,29-08-2017,29-08-2017,916,103965,30-34,M,16,19,21,5120,0,0,1,0
709059,30-08-2017,30-08-2017,916,103968,30-34,M,20,26,23,14669,7,10.28000021,1,1
709105,30-08-2017,30-08-2017,916,103976,30-34,M,28,30,32,1241,0,0,1,1
709115,30-08-2017,30-08-2017,916,103978,30-34,M,30,34,31,2305,1,0.569999993,1,0
709124,30-08-2017,30-08-2017,916,103979,30-34,M,31,34,33,1024,0,0,1,1
709179,30-08-2017,30-08-2017,916,103988,35-39,M,15,16,17,4627,1,1.690000057,1,0
709183,30-08-2017,30-08-2017,916,103989,35-39,M,16,20,22,21026,4,4.630000114,2,1
709320,17-08-2017,17-08-2017,916,104012,35-39,M,15,21,20,1422,0,0,1,1
709323,17-08-2017,17-08-2017,916,104012,35-39,M,15,17,19,7132,2,2.609999895,1,0
709326,18-08-2017,18-08-2017,916,104013,35-39,M,16,22,22,12190,2,3.049999952,1,0
709327,18-08-2017,18-08-2017,916,104013,35-39,M,16,22,20,12193,2,3.059999943,1,1
709328,18-08-2017,18-08-2017,916,104013,35-39,M,16,19,18,3332,0,0,1,1
709455,18-08-2017,18-08-2017,916,104034,35-39,M,7,12,10,559,0,0,1,0
709544,18-08-2017,18-08-2017,916,104049,35-39,M,29,33,32,7440,2,2.980000019,1,1
709614,19-08-2017,19-08-2017,916,104061,40-44,M,16,19,20,19113,4,5.5200001,1,0
709756,19-08-2017,19-08-2017,916,104085,40-44,M,16,21,21,10976,2,1.690000057,1,1
709761,18-08-2017,18-08-2017,916,104085,40-44,M,16,19,20,2861,0,0,1,0
709899,18-08-2017,18-08-2017,916,104108,40-44,M,15,18,20,1398,0,0,1,1
709901,18-08-2017,18-08-2017,916,104109,40-44,M,16,18,20,23817,7,8.470000148,1,1
710045,17-08-2017,17-08-2017,916,104133,45-49,M,16,22,17,47224,12,15.82000017,1,0
